Section,Component,Type,Current Text / Content,Client Feedback,Priority (High / Med / Low),Status (Approve / Revise / Remove)
SEC 4 — THE RIPPLE EFFECTS,Section header,Header,"Label: '04 / The Ripple Effects' | Headline: 'Child care failure is driving families out of Routt County' | Intro: 'The effects of the child care crisis extend far beyond individual families. The community is losing the workforce it needs — and the economic consequences are mounting.'",,,
SEC 4 — THE RIPPLE EFFECTS,Hero stat — −317,Stat,"−317 residents ages 25–44 lost since the 2018 peak — a steady seven-year decline while Routt County's total population held essentially flat",,,
SEC 4 — THE RIPPLE EFFECTS,Chart — Demographics trendline,Chart,"Title: 'Routt County residents ages 25–44 — annual trendline, 2017–2024' | Subtitle: 'When families can't find care, they leave. Routt County is losing the core of its workforce.' | Line chart showing decline from 7,452 peak (2018) to 7,135 (2024) | Annotation: '▼ −317 from peak'",,,
SEC 4 — THE RIPPLE EFFECTS,Chart — Economic flow diagram,Chart,"Title: 'The economic cost of inaction — and the case for investment' | Sources: $27.6M commuter income lost + $10M+ unrealized economic potential + 317 residents lost → $37.6M+ annual economic drain (Routt invests $0) → splits to: INACTION (drain compounds, families keep leaving) OR INVEST $8.5M/yr ($7.30 per $1 = $62M+ community benefit)",,,
SEC 4 — THE RIPPLE EFFECTS,Narrative paragraph,Body,"The trendline tells the story: Routt County's 25–44 population peaked in 2018 at 7,452 and has declined every measured year since — even as the county's total population stayed flat. These are the families who need child care, and they are leaving. While peer mountain resort communities have created dedicated local funding mechanisms to keep families here, Routt County has none. Eagle County and Roaring Fork Valley are investing $8–10 million per year. Routt County is investing zero.",,,
SEC 5 — THE PATH FORWARD,Section header,Header,"Label: '05 / The Path Forward' | Headline: 'The community has the power to fix this' | Intro: 'Routt County needs $8.5 million in annual investment to fully fund a child care system that works for families, providers, and the broader economy.'",,,
SEC 5 — THE PATH FORWARD,Hero stat — $8.5M,Stat,"$8.5M annual funding gap — the difference between the $17.5M it costs to fully fund the system and what currently exists",,,
SEC 5 — THE PATH FORWARD,Chart — Community Blueprint pillars,Chart,"Title: 'The Community Blueprint — $8.5M builds three pillars that hold up Routt County's future' | Roof beam (2030 goals): +270 slots | 90%+ Access | Living Wages | Pillar 1 — SPACE (Capacity Expansion): New facilities, renovation & infrastructure · $2.0M–$3.5M/yr | Pillar 2 — ACCESS (Affordability & Reach): Tuition assistance & flexible care for all families · $1.8M–$2.9M/yr | Pillar 3 — PEOPLE (Workforce & Wages): Wage supplements, housing support & retention · $2.3M–$3.8M/yr | Ground note: 'Combined annual investment: $8.5M · Returns $7.30 per $1 invested'",,,
SEC 5 — THE PATH FORWARD,Chart — Peer community comparison,Chart,"Title: 'Routt County vs. peer mountain communities — annual local investment' | Larimer County: $28M | Roaring Fork Valley: $10M | Eagle County: $8M | Routt County: $0 — No dedicated local funding",,,
SEC 5 — THE PATH FORWARD,Pull quote / blockquote,Quote,"""Child care is infrastructure. And infrastructure takes investment. Eagle County — like Routt, a mountain resort economy — raises $8 million a year for child care through a lodging tax. Roaring Fork Valley raises $10 million through a quarter-cent sales tax. These are communities that look like Routt County. The question is not whether it's possible. It's whether Routt County will act.""",,,
CTA,Call to action section,CTA,"Headline: 'Ready to act?' | Body: 'Every voice matters. Whether you vote, speak up, or spread the word — your engagement moves this forward.' | Button 1: 'Register to Vote' (→ Colorado SOS voter registration) | Button 2: 'Tell Your Elected Officials' (→ Routt County Request Tracker) | Button 3: 'Invite Us to Speak' (→ info@routtthrivebyfive.org)",,,
FOOTER,Data sources (collapsed),Sources,"Source 1: Strategic Investment Plan (2026) — First Impressions of Routt County | Source 2: Brodsky Research & Consulting (2025) | Source 3: First Impressions Wage Survey (July 2025, N=7) | Source 4: MIT Living Wage Calculator (2023) | Source 5: U.S. Census Bureau ACS 5-Year Estimates, 2017–2024 | Source 6: Peer community funding data via Buell Foundation (2026) | Source 7: Bureau of Economic Analysis (2023) | Source 8: Routt County Child Care Needs Assessment (2023)",,,
FOOTER,Footer,Footer,"Routt Thrive by Five | First Impressions of Routt County | © 2026. All data cited; see sources above.",,,
